GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
28937	2.98e-39	1.60e-41	0.6476	-13.4982903	-8.74	675.49	IGKV1-17	immunoglobulin kappa variable 1-17
28950	4.54e-39	2.46e-41	0.6002	-13.4665249	-8.08	1981.95	IGKJ1	immunoglobulin kappa joining 1
3224	6.29e-39	3.44e-41	0.5593	-13.4417268	-7.52	292.8	HOXC8	homeobox C8
158158	7.47e-39	4.12e-41	0.4301	13.4283869	5.78	1289.18	RASEF	RAS and EF-hand domain containing
254887	1.04e-38	5.78e-41	0.1933	13.4033484	2.59	427.9	ZDHHC23	zinc finger DHHC-type palmitoyltransferase 23
2995	1.11e-38	6.23e-41	0.1067	-13.3978217	-1.43	3199.97	GYPC	glycophorin C (Gerbich blood group)
112268447	1.16e-38	6.57e-41	0.3103	-13.3938563	-4.16	1649.53	LOC112268447	
261729	1.20e-38	6.93e-41	0.2855	-13.3898779	-3.82	1549.57	STEAP2	STEAP2 metalloreductase
2157	1.20e-38	6.94e-41	0.1821	-13.3897874	-2.44	982.85	F8	coagulation factor VIII
3221	1.68e-38	9.76e-41	0.2768	-13.3644147	-3.70	391.24	HOXC4	homeobox C4
201191	2.23e-38	1.30e-40	0.1044	-13.3428687	-1.39	739.75	SAMD14	sterile alpha motif domain containing 14
51311	2.28e-38	1.34e-40	0.3467	-13.3405736	-4.63	390.33	TLR8	toll like receptor 8
255101	2.35e-38	1.40e-40	0.5526	13.3375121	7.37	117.85	CFAP65	cilia and flagella associated protein 65
3217	3.14e-38	1.88e-40	0.2632	13.3154362	3.50	742.83	HOXB7	homeobox B7
730	4.87e-38	2.94e-40	0.4989	-13.2820593	-6.63	21589.75	C7	complement C7
28394	6.97e-38	4.25e-40	0.6429	-13.2545701	-8.52	1924.43	IGHV4-39	immunoglobulin heavy variable 4-39
2512	8.39e-38	5.15e-40	0.3032	-13.2400394	-4.01	258185.48	FTL	ferritin light chain
1767	8.45e-38	5.22e-40	0.3886	13.2389869	5.14	371.44	DNAH5	dynein axonemal heavy chain 5
102524628	8.60e-38	5.36e-40	0.3046	-13.2370218	-4.03	100.01	RASGRF2-AS1	RASGRF2 antisense RNA 1
8707	2.14e-37	1.35e-39	0.4624	-13.1677644	-6.09	150.52	B3GALT2	beta-1,3-galactosyltransferase 2
100506621	3.04e-37	1.93e-39	0.317	-13.1406011	-4.17	1460.43	LINC01279	replaced by ID 151887
5360	3.46e-37	2.20e-39	0.1576	-13.1304154	-2.07	9392.38	PLTP	phospholipid transfer protein
6356	4.97e-37	3.19e-39	0.7476	-13.1023873	-9.80	417	CCL11	C-C motif chemokine ligand 11
284417	5.24e-37	3.39e-39	0.3068	-13.0977625	-4.02	281.59	TMEM150B	transmembrane protein 150B
23566	8.26e-37	5.39e-39	0.4796	13.0625734	6.26	412.37	LPAR3	lysophosphatidic acid receptor 3
10007	8.53e-37	5.60e-39	0.0995	-13.0596139	-1.30	2302.71	GNPDA1	glucosamine-6-phosphate deaminase 1
144809	1.28e-36	8.47e-39	0.5307	13.0280695	6.91	297.08	FAM216B	family with sequence similarity 216 member B
5825	1.68e-36	1.12e-38	0.0619	13.0068134	8.05e-01	1561.53	ABCD3	ATP binding cassette subfamily D member 3
9956	2.29e-36	1.54e-38	0.6801	-12.9824873	-8.83	1136.71	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2
7780	3.44e-36	2.33e-38	0.6536	12.9507593	8.47	4725.99	SLC30A2	solute carrier family 30 member 2
112267873	3.82e-36	2.60e-38	0.5713	12.9422564	7.39	576.89	LINC02814	long intergenic non-protein coding RNA 2814
53407	5.30e-36	3.63e-38	0.2049	12.9165939	2.65	6108.38	STX18	syntaxin 18
58495	5.33e-36	3.71e-38	0.4464	12.9149756	5.77	145.79	OVOL2	ovo like zinc finger 2
2846	5.33e-36	3.71e-38	0.2675	-12.9149723	-3.45	276.96	LPAR4	lysophosphatidic acid receptor 4
147798	9.32e-36	6.52e-38	0.3359	12.8714545	4.32	2702.88	TMC4	transmembrane channel like 4
388559	9.65e-36	6.80e-38	0.2872	12.8681758	3.70	2556.09	ZNF888	zinc finger protein 888
28450	1.11e-35	7.84e-38	0.7277	-12.8572129	-9.36	1810.38	IGHV3-11	immunoglobulin heavy variable 3-11
143162	1.39e-35	9.90e-38	0.3945	12.8391071	5.06	88.83	FRMPD2	FERM and PDZ domain containing 2
3501	1.66e-35	1.19e-37	0.6328	-12.8246118	-8.12	28627.5	IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker)
100529240	1.70e-35	1.23e-37	0.1747	12.8222328	2.24	226.83	ZNF816-ZNF321P	ZNF816-ZNF321P readthrough
105372228	1.77e-35	1.29e-37	0.5866	-12.8188878	-7.52	371	LOC105372228	uncharacterized LOC105372228
100128338	2.36e-35	1.73e-37	0.3538	12.7958957	4.53	276.97	FAM83H-AS1	replaced by ID 642574
5368	2.52e-35	1.86e-37	0.7459	-12.7902277	-9.54	2284.73	PNOC	prepronociceptin
9938	2.91e-35	2.16e-37	0.2509	-12.7785453	-3.21	1673.44	ARHGAP25	Rho GTPase activating protein 25
9865	4.13e-35	3.09e-37	0.2267	-12.7507668	-2.89	492.03	TRIL	TLR4 interactor with leucine rich repeats
3216	4.51e-35	3.39e-37	0.3752	12.7433765	4.78	1707.67	HOXB6	homeobox B6
5136	5.24e-35	3.96e-37	0.2223	-12.7312952	-2.83	579.94	PDE1A	phosphodiesterase 1A
112268096	5.74e-35	4.37e-37	0.5208	12.7235931	6.63	380.81	LOC112268096	uncharacterized LOC112268096
1952	5.76e-35	4.41e-37	0.2114	12.7228897	2.69	1757.79	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2
100130933	7.45e-35	5.74e-37	0.3796	12.7022981	4.82	114.85	SMIM6	small integral membrane protein 6
56062	8.03e-35	6.23e-37	0.3231	-12.6959732	-4.10	647.9	KLHL4	kelch like family member 4
28388	8.11e-35	6.33e-37	0.6379	-12.6946811	-8.10	1680.59	IGHV5-51	immunoglobulin heavy variable 5-51
112574	8.22e-35	6.45e-37	0.1412	-12.6931534	-1.79	2414.27	SNX18	sorting nexin 18
79740	8.35e-35	6.59e-37	0.444	12.6914596	5.64	89.22	ZBBX	zinc finger B-box domain containing
25927	9.20e-35	7.31e-37	0.1503	-12.6833546	-1.91	2123.36	CNRIP1	cannabinoid receptor interacting protein 1
57604	9.75e-35	7.79e-37	0.2363	12.6783872	3.00	546.24	TRMT9B	tRNA methyltransferase 9B (putative)
8693	1.34e-34	1.07e-36	0.2726	12.6531406	3.45	1832.04	GALNT4	polypeptide N-acetylgalactosaminyltransferase 4
6943	1.34e-34	1.08e-36	0.5278	-12.6525036	-6.68	2068.73	TCF21	transcription factor 21
1750	2.01e-34	1.63e-36	0.4784	12.6201719	6.04	480.9	DLX6	distal-less homeobox 6
28385	2.08e-34	1.70e-36	0.6788	-12.6171444	-8.56	662.89	IGHV6-1	immunoglobulin heavy variable 6-1
404266	2.44e-34	2.01e-36	0.3726	12.6038419	4.70	652.39	HOXB-AS3	HOXB cluster antisense RNA 3
7355	2.95e-34	2.45e-36	0.1005	12.5884188	1.27	1145.71	SLC35A2	solute carrier family 35 member A2
51361	3.52e-34	2.93e-36	0.4423	12.574183	5.56	1686.93	HOOK1	hook microtubule tethering protein 1
103091864	4.03e-34	3.38e-36	0.1797	12.5628998	2.26	141.02	SNHG22	small nucleolar RNA host gene 22
122481	4.70e-34	3.96e-36	0.2968	12.5502588	3.72	281.35	AK7	adenylate kinase 7
3507	4.87e-34	4.13e-36	0.55	-12.5470288	-6.90	7475.59	IGHM	immunoglobulin heavy constant mu
9618	5.67e-34	4.83e-36	0.1717	12.5346048	2.15	1506.07	TRAF4	TNF receptor associated factor 4
105372978	6.22e-34	5.33e-36	0.4462	-12.5267582	-5.59	88.87	LINC01638	long intergenic non-protein coding RNA 1638
28408	6.40e-34	5.51e-36	0.5506	-12.5241435	-6.90	1465.95	IGHV3-74	immunoglobulin heavy variable 3-74
23646	6.94e-34	6.01e-36	0.1538	-12.5171967	-1.93	17942.74	PLD3	phospholipase D family member 3
283460	7.80e-34	6.79e-36	0.5741	12.5075164	7.18	178.59	HNF1A-AS1	HNF1A antisense RNA 1
170302	8.15e-34	7.14e-36	0.8542	-12.5035762	-1.07e+01	701.02	ARX	aristaless related homeobox
28938	9.14e-34	8.05e-36	0.696	-12.494012	-8.70	1287.67	IGKV1-16	immunoglobulin kappa variable 1-16
6833	9.80e-34	8.67e-36	0.6088	12.4880701	7.60	450.27	ABCC8	ATP binding cassette subfamily C member 8
9229	1.03e-33	9.13e-36	0.4787	12.4840041	5.98	1533.36	DLGAP1	DLG associated protein 1
84688	1.09e-33	9.73e-36	0.3168	12.4788828	3.95	200.27	C9orf24	chromosome 9 open reading frame 24
28923	1.15e-33	1.04e-35	0.631	-12.473844	-7.87	317.94	IGKV2-24	immunoglobulin kappa variable 2-24
9332	1.58e-33	1.43e-35	0.3506	-12.448455	-4.36	15952.85	CD163	CD163 molecule
6362	2.18e-33	1.98e-35	0.6892	-12.4222425	-8.56	2019.51	CCL18	C-C motif chemokine ligand 18
643763	5.07e-33	4.63e-35	0.4971	12.3540993	6.14	93.54	NKAIN3-IT1	replaced by ID 286183
100506658	5.10e-33	4.68e-35	0.3465	12.3532159	4.28	630.92	OCLN	occludin
399693	5.22e-33	4.82e-35	0.5255	12.3508307	6.49	80.87	CCDC187	coiled-coil domain containing 187
2705	5.97e-33	5.54e-35	0.5921	12.339676	7.31	1826.79	GJB1	gap junction protein beta 1
11185	7.12e-33	6.64e-35	0.4532	-12.3249946	-5.59	1011.18	INMT	indolethylamine N-methyltransferase
4035	7.25e-33	6.80e-35	0.1888	-12.3231883	-2.33	51070.87	LRP1	LDL receptor related protein 1
10321	8.16e-33	7.69e-35	0.651	12.3132524	8.02	5764.54	CRISP3	cysteine rich secretory protein 3
1832	1.15e-32	1.09e-34	0.2984	12.2847769	3.67	7448.4	DSP	desmoplakin
10894	1.16e-32	1.11e-34	0.3382	-12.2838397	-4.15	3475.8	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
28809	1.16e-32	1.11e-34	0.744	-12.2833612	-9.14	1262.31	IGLV3-1	immunoglobulin lambda variable 3-1
341640	1.30e-32	1.25e-34	0.5556	12.2740818	6.82	1645.06	FREM2	FRAS1 related extracellular matrix 2
284942	1.44e-32	1.39e-34	0.0895	-12.2650937	-1.10	657.04	RPL23AP82	ribosomal protein L23a pseudogene 82
6451	1.45e-32	1.41e-34	0.121	-12.2644703	-1.48	9342.93	SH3BGRL	SH3 domain binding glutamate rich protein like
153643	1.52e-32	1.49e-34	0.4849	12.2596485	5.94	70.05	FAM81B	family with sequence similarity 81 member B
64785	1.52e-32	1.49e-34	0.2177	12.2599222	2.67	696.4	GINS3	GINS complex subunit 3
127003	1.60e-32	1.58e-34	0.4831	12.255081	5.92	79.34	CFAP276	cilia and flagella associated protein 276
54836	1.66e-32	1.65e-34	0.3967	12.2516484	4.86	453.79	BSPRY	B-box and SPRY domain containing
9839	1.70e-32	1.69e-34	0.1346	-12.2495834	-1.65	7427.69	ZEB2	zinc finger E-box binding homeobox 2
200634	1.87e-32	1.87e-34	0.2026	12.241366	2.48	388.83	KRTCAP3	keratinocyte associated protein 3
254173	2.15e-32	2.16e-34	0.4039	12.2295582	4.94	57.89	TTLL10	tubulin tyrosine ligase like 10
8324	2.26e-32	2.27e-34	0.3238	-12.2253857	-3.96	654.39	FZD7	frizzled class receptor 7
143662	2.42e-32	2.46e-34	0.647	12.2191432	7.91	617.77	MUC15	mucin 15, cell surface associated
57476	2.51e-32	2.55e-34	0.2789	-12.2159856	-3.41	1187.52	GRAMD1B	GRAM domain containing 1B
374407	2.80e-32	2.87e-34	0.4199	12.2065974	5.12	482.63	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13
105374041	2.95e-32	3.03e-34	0.4746	12.2020163	5.79	140.08	LOC105374041	uncharacterized LOC105374041
8828	3.96e-32	4.09e-34	0.3621	-12.17771	-4.41	10312.79	NRP2	neuropilin 2
8511	4.23e-32	4.39e-34	0.3772	-12.1718201	-4.59	419.4	MMP23A	matrix metallopeptidase 23A (pseudogene)
389643	5.21e-32	5.43e-34	0.4064	-12.1544381	-4.94	202.92	NUGGC	nuclear GTPase, germinal center associated
90506	5.46e-32	5.72e-34	0.2892	12.1502379	3.51	279.63	LRRC46	leucine rich repeat containing 46
25884	5.50e-32	5.79e-34	0.4845	-12.1492633	-5.89	250.45	CHRDL2	chordin like 2
51090	7.76e-32	8.20e-34	0.3071	12.1207905	3.72	1810.44	PLLP	plasmolipin
4360	7.91e-32	8.39e-34	0.2641	-12.1188895	-3.20	5708.98	MRC1	mannose receptor C-type 1
375295	1.10e-31	1.17e-33	0.2943	-12.0916476	-3.56	243.43	LINC01116	long intergenic non-protein coding RNA 1116
2302	1.12e-31	1.20e-33	0.5398	12.0897943	6.53	1092.85	FOXJ1	forkhead box J1
8510	1.26e-31	1.36e-33	0.2707	-12.0794751	-3.27	603.24	MMP23B	matrix metallopeptidase 23B
28935	1.35e-31	1.46e-33	0.7462	-12.0735524	-9.01	994.73	IGKV1-27	immunoglobulin kappa variable 1-27
100528030	1.59e-31	1.72e-33	0.2722	12.0597257	3.28	1854.06	POC1B-GALNT4	POC1B-GALNT4 readthrough
102723635	1.90e-31	2.07e-33	0.4114	-12.0446333	-4.96	235.85	LOC102723635	uncharacterized LOC102723635
7849	2.10e-31	2.30e-33	0.4216	12.0360961	5.07	8698.62	PAX8	paired box 8
10207	2.19e-31	2.41e-33	0.2193	12.032011	2.64	2499.75	PATJ	PATJ crumbs cell polarity complex component
101928473	2.37e-31	2.61e-33	0.4109	12.025465	4.94	57.99	LOC101928473	uncharacterized LOC101928473
133690	2.38e-31	2.64e-33	0.5573	12.0246389	6.70	110.78	CAPSL	calcyphosine like
2296	2.44e-31	2.71e-33	0.2398	-12.0222634	-2.88	402	FOXC1	forkhead box C1
105221694	2.54e-31	2.84e-33	0.2286	-12.0186262	-2.75	182.94	BISPR	BST2 interferon stimulated positive regulator
53826	3.10e-31	3.48e-33	0.1853	-12.0016761	-2.22	3516.48	FXYD6	FXYD domain containing ion transport regulator 6
340267	3.13e-31	3.54e-33	0.4513	12.000417	5.42	213.4	COL28A1	collagen type XXVIII alpha 1 chain
286676	3.17e-31	3.59e-33	0.5093	11.9990869	6.11	719.7	ILDR1	immunoglobulin like domain containing receptor 1
51378	3.22e-31	3.67e-33	0.3797	-11.9973879	-4.56	77.2	ANGPT4	angiopoietin 4
28912	3.83e-31	4.37e-33	0.6853	-11.9828461	-8.21	9041.08	IGKV3-20	immunoglobulin kappa variable 3-20
