ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P333138	2.90e-04	6.81e-07	-5.933778	5.9209735	-1.8415318	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking
A_23_P137765	2.91e-04	6.90e-07	-5.929467	5.9081738	-3.8329494	PAFAH2	platelet activating factor acetylhydrolase 2
A_24_P931628	2.99e-04	7.31e-07	-5.911119	5.853693	-2.7084975		
A_24_P611182	2.99e-04	7.33e-07	-5.910508	5.8518789	-2.0689506		
A_23_P152984	2.99e-04	7.34e-07	5.910222	5.8510305	2.0299386	ALYREF	Aly/REF export factor
A_23_P82503	2.99e-04	7.43e-07	-5.906166	5.8389853	-2.6051743	PEG10	paternally expressed 10
A_32_P168670	2.99e-04	7.49e-07	-5.903648	5.8315096	-2.5462845		
A_32_P56037	3.00e-04	7.61e-07	-5.898785	5.8170674	-2.0293679	RGS5	regulator of G-protein signaling 5
A_24_P106382	3.03e-04	7.76e-07	-5.892567	5.7986028	-1.373404		
A_23_P6615	3.08e-04	8.01e-07	-5.882495	5.7686934	-4.4795684	CPB1	carboxypeptidase B1
A_23_P16944	3.08e-04	8.04e-07	5.88124	5.7649677	1.7714391	SDC1	syndecan 1
A_23_P316472	3.11e-04	8.22e-07	-5.874213	5.7440994	-2.1770943	DNHD1	dynein heavy chain domain 1
A_32_P113935	3.11e-04	8.29e-07	-5.871623	5.7364082	-2.6578808	LNX2	ligand of numb-protein X 2
A_24_P114438	3.11e-04	8.37e-07	-5.86875	5.7278776	-1.8913065	OLA1	Obg-like ATPase 1
A_24_P250922	3.21e-04	8.72e-07	-5.855731	5.6892161	-2.3852913	PTGS2	prostaglandin-endoperoxide synthase 2
A_32_P117846	3.22e-04	8.83e-07	-5.851592	5.6769247	-2.1725584		
A_23_P112957	3.29e-04	9.11e-07	-5.841801	5.6478461	-3.6997375		
A_24_P330684	3.37e-04	9.46e-07	-5.830116	5.6131478	-4.1882726	ABAT	4-aminobutyrate aminotransferase
A_23_P159907	3.37e-04	9.59e-07	5.825886	5.6005833	1.4391984	MAGED4B	MAGE family member D4B
A_24_P419276	3.37e-04	9.59e-07	-5.825743	5.6001606	-1.793413	ZNF248	zinc finger protein 248
A_23_P41476	3.40e-04	9.77e-07	-5.81986	5.58269	-3.1064117	SHISA3	shisa family member 3
A_23_P215549	3.43e-04	1.00e-06	-5.811798	5.5587476	-1.8651199	PON3	paraoxonase 3
A_24_P491087	3.43e-04	1.00e-06	-5.811555	5.5580264	-2.219897	CCT6P1	chaperonin containing TCP1 subunit 6 pseudogene 1
A_24_P325118	3.50e-04	1.03e-06	-5.802041	5.5297715	-3.6689062	RGS11	regulator of G-protein signaling 11
A_23_P118815	3.50e-04	1.04e-06	5.799046	5.5208779	2.5546239	BIRC5	baculoviral IAP repeat containing 5
A_32_P233278	3.52e-04	1.06e-06	5.794764	5.5081616	2.2568514		
A_24_P365679	3.77e-04	1.14e-06	-5.770309	5.4355421	-2.5471288		
A_24_P932305	3.83e-04	1.19e-06	-5.758305	5.3998965	-4.3075977		
A_24_P356218	3.83e-04	1.20e-06	5.755829	5.3925425	2.6524587	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1
A_23_P93302	3.83e-04	1.20e-06	-5.754981	5.3900246	-1.8392464	GABBR1	gamma-aminobutyric acid type B receptor subunit 1
A_24_P942798	3.83e-04	1.20e-06	-5.754829	5.3895741	-2.3824022		
A_24_P686263	3.89e-04	1.24e-06	-5.745323	5.3613487	-2.3233218		
A_24_P917044	3.89e-04	1.24e-06	-5.74405	5.3575679	-2.2593012	TRPC1	transient receptor potential cation channel subfamily C member 1
A_24_P301629	3.90e-04	1.25e-06	-5.741329	5.349488	-2.6718578	ZNF155	zinc finger protein 155
A_32_P61439	4.05e-04	1.31e-06	-5.726674	5.3059735	-1.9684859		
A_23_P377350	4.12e-04	1.35e-06	-5.718138	5.2806303	-2.8496733		
A_23_P335958	4.12e-04	1.37e-06	-5.712791	5.2647531	-2.3557138	GPR155	G protein-coupled receptor 155
A_32_P83570	4.12e-04	1.39e-06	-5.7085	5.2520156	-2.3296409		
A_32_P65793	4.12e-04	1.39e-06	5.70816	5.2510044	2.2277505		
A_23_P51039	4.12e-04	1.40e-06	-5.706878	5.2471985	-2.3066484	INHA	inhibin alpha subunit
A_23_P85963	4.12e-04	1.40e-06	-5.706069	5.2447983	-4.8637039	OR6Y1	olfactory receptor family 6 subfamily Y member 1
A_32_P213861	4.13e-04	1.42e-06	-5.702903	5.2353981	-2.4384455	WDFY3-AS2	WDFY3 antisense RNA 2
A_32_P105073	4.18e-04	1.44e-06	-5.696689	5.2169484	-2.1475209		
A_32_P11058	4.18e-04	1.46e-06	-5.693901	5.208672	-2.6439603		
A_32_P110086	4.22e-04	1.48e-06	-5.689039	5.1942379	-2.4044948		
A_32_P205596	4.29e-04	1.52e-06	-5.679744	5.1666455	-3.3915894		
A_23_P58228	4.29e-04	1.54e-06	-5.676681	5.1575536	-2.7779411	ODAM	odontogenic, ameloblast asssociated
A_32_P78250	4.29e-04	1.56e-06	5.671441	5.1419971	2.4888514	HMGN1	high mobility group nucleosome binding domain 1
A_24_P408842	4.29e-04	1.57e-06	-5.670442	5.1390337	-2.2161402		
A_32_P108396	4.29e-04	1.57e-06	-5.669664	5.1367223	-2.8455152		
A_24_P348083	4.29e-04	1.57e-06	5.669626	5.1366098	2.5241896		
A_23_P14798	4.33e-04	1.60e-06	5.664402	5.1211049	1.3362139	NEO1	neogenin 1
A_32_P97373	4.37e-04	1.63e-06	-5.65914	5.1054858	-2.5633942		
A_32_P23209	4.43e-04	1.66e-06	-5.652738	5.0864817	-2.1371536		
A_32_P214107	4.49e-04	1.71e-06	-5.642899	5.0572808	-2.5867022		
A_23_P377664	4.49e-04	1.73e-06	-5.64051	5.0501896	-1.5395063	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor
A_23_P76006	4.49e-04	1.75e-06	5.63696	5.0396534	2.2421657	SERPINH1	serpin family H member 1
A_24_P937817	4.49e-04	1.75e-06	-5.635292	5.0347056	-1.8335209	FAS	Fas cell surface death receptor
A_23_P131846	4.49e-04	1.76e-06	5.634262	5.0316488	1.6435592	SNAI1	snail family transcriptional repressor 1
A_23_P207456	4.49e-04	1.77e-06	-5.633	5.0279037	-2.8085472	CCL8	C-C motif chemokine ligand 8
A_32_P159023	4.49e-04	1.78e-06	-5.631298	5.0228514	-1.5277544		
A_32_P70341	4.49e-04	1.79e-06	5.629144	5.0164592	3.2079327		
A_24_P193257	4.49e-04	1.83e-06	-5.622519	4.9967992	-1.7685375		
A_24_P50875	4.49e-04	1.84e-06	-5.621058	4.9924642	-2.3127294	ANKHD1	ankyrin repeat and KH domain containing 1
A_23_P163200	4.49e-04	1.84e-06	-5.620906	4.9920115	-2.6307321	RIN3	Ras and Rab interactor 3
A_23_P218517	4.49e-04	1.84e-06	-5.619855	4.9888952	-2.5336724	ZNF222	zinc finger protein 222
A_24_P55437	4.49e-04	1.84e-06	5.619423	4.9876128	1.9532843	TES	testin LIM domain protein
A_23_P83453	4.49e-04	1.85e-06	5.618896	4.986047	1.9884454	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
A_32_P178842	4.60e-04	1.92e-06	-5.607074	4.9509685	-1.392392		
A_23_P258582	4.60e-04	1.94e-06	-5.604189	4.9424083	-1.9837346	GK5	glycerol kinase 5 (putative)
A_23_P118038	4.60e-04	1.94e-06	5.603197	4.9394646	1.9043771	NUTF2	nuclear transport factor 2
A_32_P128209	4.60e-04	1.94e-06	-5.603002	4.9388878	-1.9336816	LINC01554	long intergenic non-protein coding RNA 1554
A_24_P247987	4.66e-04	1.98e-06	-5.597267	4.9218698	-3.9645409	USB1	U6 snRNA biogenesis phosphodiesterase 1
A_23_P29394	4.76e-04	2.03e-06	-5.58865	4.8963062	-2.7849989	ATP13A4	ATPase 13A4
A_24_P218074	4.84e-04	2.08e-06	5.581633	4.8754895	1.8364339	ZNF467	zinc finger protein 467
A_23_P127553	4.92e-04	2.13e-06	-5.574283	4.8536872	-2.4644018	KBTBD3	kelch repeat and BTB domain containing 3
A_23_P321511	5.08e-04	2.21e-06	-5.562542	4.8188604	-1.7821255	MARCH3	membrane associated ring-CH-type finger 3
A_24_P921446	5.11e-04	2.24e-06	-5.558455	4.8067391	-3.0419976	EMP1	epithelial membrane protein 1
A_23_P413952	5.32e-04	2.35e-06	-5.543658	4.7628563	-2.1327473	LOC100509780	uncharacterized LOC100509780
A_32_P144390	5.33e-04	2.36e-06	-5.541421	4.7562213	-2.0337592		
A_23_P420981	5.33e-04	2.39e-06	-5.538027	4.7461578	-3.668422	C14orf79	chromosome 14 open reading frame 79
A_23_P113645	5.33e-04	2.39e-06	-5.53753	4.7446836	-3.8404818		
A_23_P368145	5.46e-04	2.47e-06	-5.527713	4.7155758	-1.4102044	GORAB	golgin, RAB6 interacting
A_24_P314451	5.46e-04	2.47e-06	-5.52666	4.7124536	-3.4292611	F8	coagulation factor VIII
A_32_P230326	5.49e-04	2.51e-06	-5.522767	4.7009104	-2.8559152		
A_23_P77430	5.51e-04	2.53e-06	5.51964	4.6916406	1.6016219	PRMT7	protein arginine methyltransferase 7
A_23_P398254	5.51e-04	2.55e-06	-5.516967	4.683716	-2.2427125	SMURF1	SMAD specific E3 ubiquitin protein ligase 1
A_32_P1405	5.51e-04	2.57e-06	-5.514435	4.6762097	-3.1059764		
A_32_P185140	5.51e-04	2.57e-06	-5.514233	4.6756084	-2.412621	TPM1	tropomyosin 1 (alpha)
A_32_P83973	5.57e-04	2.61e-06	-5.509395	4.6612667	-2.4247728		
A_23_P107421	5.59e-04	2.64e-06	5.50645	4.652539	3.0059002	TK1	thymidine kinase 1
A_23_P166400	5.61e-04	2.67e-06	-5.502202	4.6399465	-1.4878742		
A_23_P90333	5.61e-04	2.70e-06	-5.498963	4.6303443	-1.6831316	ZNF404	zinc finger protein 404
A_24_P367602	5.61e-04	2.72e-06	-5.497166	4.6250186	-2.7890597	DUSP5P1	dual specificity phosphatase 5 pseudogene 1
A_24_P915326	5.61e-04	2.72e-06	-5.496483	4.6229958	-2.8368138		
A_32_P9941	5.61e-04	2.72e-06	-5.496429	4.6228333	-4.4026366	WIF1	WNT inhibitory factor 1
A_32_P89480	5.78e-04	2.82e-06	-5.485595	4.5907267	-2.3021645		
A_23_P308974	5.85e-04	2.87e-06	-5.479662	4.5731433	-2.1283025	ADAMTSL3	ADAMTS like 3
A_24_P167642	5.85e-04	2.89e-06	-5.478048	4.5683602	-1.7783328	GCH1	GTP cyclohydrolase 1
A_23_P321972	5.95e-04	2.95e-06	-5.471203	4.5480772	-2.0042241	FGD5	FYVE, RhoGEF and PH domain containing 5
A_23_P2901	5.95e-04	2.97e-06	-5.468588	4.5403305	-2.6600679		
A_24_P480464	5.95e-04	2.98e-06	5.467602	4.5374071	2.8087236		
A_23_P33356	6.00e-04	3.02e-06	-5.463678	4.5257825	-2.0228435	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
A_32_P24372	6.03e-04	3.05e-06	-5.460525	4.5164408	-1.9378817	TBC1D3B	TBC1 domain family member 3B
A_24_P923554	6.06e-04	3.08e-06	-5.457257	4.5067597	-4.2491199		
A_32_P197899	6.06e-04	3.10e-06	-5.455269	4.5008697	-4.4356276		
A_23_P218858	6.09e-04	3.15e-06	-5.450801	4.4876362	-2.2958894	ABI3BP	ABI family member 3 binding protein
A_23_P164436	6.09e-04	3.15e-06	-5.450778	4.4875669	-2.0863722	ASPA	aspartoacylase
A_23_P349566	6.11e-04	3.17e-06	-5.448027	4.4794174	-1.9434852	CCDC85A	coiled-coil domain containing 85A
A_32_P94132	6.19e-04	3.25e-06	-5.440867	4.4582113	-1.3635829		
A_24_P93931	6.19e-04	3.25e-06	-5.440428	4.4569107	-2.5865116		
A_24_P682550	6.20e-04	3.29e-06	-5.436317	4.4447338	-1.840418		
A_24_P186943	6.20e-04	3.30e-06	-5.435702	4.4429136	-1.7773309	ELN	elastin
A_23_P27636	6.20e-04	3.30e-06	-5.435632	4.4427063	-2.2317919	ZNF700	zinc finger protein 700
A_23_P18539	6.23e-04	3.33e-06	-5.432429	4.433221	-1.7645944	MMRN1	multimerin 1
A_24_P256415	6.23e-04	3.35e-06	-5.430782	4.428342	-2.7036206	LOC100128288	uncharacterized LOC100128288
A_24_P152937	6.23e-04	3.37e-06	-5.429362	4.4241371	-2.7552621	TNRC18	trinucleotide repeat containing 18
A_32_P127350	6.45e-04	3.50e-06	-5.416779	4.386879	-2.7008674	LINC00461	long intergenic non-protein coding RNA 461
A_32_P212343	6.45e-04	3.52e-06	-5.415349	4.3826463	-1.6226288		
A_32_P36942	6.46e-04	3.54e-06	-5.413329	4.3766635	-1.6499147	TYW5	tRNA-yW synthesizing protein 5
A_24_P109962	6.46e-04	3.58e-06	5.410413	4.3680311	2.4474824		
A_23_P217009	6.46e-04	3.58e-06	5.409882	4.3664606	2.0657289	C9orf24	chromosome 9 open reading frame 24
A_32_P78904	6.46e-04	3.60e-06	-5.408671	4.3628741	-1.6561762	STRN	striatin
A_24_P813520	6.52e-04	3.68e-06	-5.401693	4.3422172	-1.6323877		
A_23_P312008	6.52e-04	3.68e-06	-5.401613	4.3419799	-2.7838126	CD55	CD55 molecule (Cromer blood group)
A_24_P68222	6.52e-04	3.68e-06	-5.401378	4.3412865	-1.7058354	CD99P1	CD99 molecule pseudogene 1
A_24_P324581	6.52e-04	3.70e-06	-5.399759	4.3364935	-1.9428832	ERV3-2	endogenous retrovirus group 3 member 2
A_24_P227065	6.60e-04	3.76e-06	-5.394555	4.3210888	-4.061457	PITX3	paired like homeodomain 3
A_24_P282083	6.84e-04	3.91e-06	-5.381749	4.2831913	-1.9860882		
A_23_P36448	6.93e-04	4.01e-06	5.373877	4.2598994	2.2457747	TMED2	transmembrane p24 trafficking protein 2
A_32_P30238	6.93e-04	4.02e-06	-5.373348	4.2583323	-2.9394527		
A_32_P22637	6.93e-04	4.02e-06	-5.373042	4.2574284	-2.0035644		
A_24_P136725	6.98e-04	4.07e-06	-5.369337	4.2464673	-1.5381137	SPIN3	spindlin family member 3
A_23_P381577	7.04e-04	4.12e-06	-5.365502	4.2351195	-1.5097168	ZNF25	zinc finger protein 25
A_23_P46903	7.07e-04	4.16e-06	-5.362544	4.226371	-2.7026129	CAMK2G	calcium/calmodulin dependent protein kinase II gamma
A_23_P121102	7.12e-04	4.21e-06	-5.358865	4.2154882	-2.0902522	HESX1	HESX homeobox 1
A_24_P349896	7.13e-04	4.23e-06	5.357238	4.2106739	2.1787067		
A_23_P166779	7.15e-04	4.26e-06	-5.354757	4.2033355	-2.6814845	LINC00312	long intergenic non-protein coding RNA 312
A_23_P204885	7.17e-04	4.32e-06	-5.350717	4.1913864	-2.1316639	PCDH20	protocadherin 20
A_24_P207195	7.17e-04	4.33e-06	5.349957	4.1891394	1.9303762	IRX3	iroquois homeobox 3
A_24_P31671	7.17e-04	4.33e-06	-5.349785	4.1886299	-2.1825978	GPCPD1	glycerophosphocholine phosphodiesterase 1
A_24_P936252	7.17e-04	4.38e-06	5.346238	4.17814	2.2804648		
A_23_P210445	7.17e-04	4.38e-06	-5.345953	4.1772986	-2.1658388	L3MBTL1	l(3)mbt-like 1 (Drosophila)
A_23_P503115	7.17e-04	4.39e-06	5.345677	4.1764816	1.1781444	BCR	BCR, RhoGEF and GTPase activating protein
A_24_P349869	7.21e-04	4.45e-06	5.341171	4.1631583	1.9221473		
A_32_P163594	7.21e-04	4.45e-06	-5.341004	4.1626634	-2.781309		
A_24_P399871	7.52e-04	4.66e-06	5.326615	4.1201184	2.9924161	CACNA1I	calcium voltage-gated channel subunit alpha1 I
A_23_P97141	7.52e-04	4.68e-06	-5.32502	4.1154037	-3.0991581	RGS1	regulator of G-protein signaling 1
A_23_P418431	7.52e-04	4.70e-06	-5.323895	4.112079	-2.4396816	LINC01590	long intergenic non-protein coding RNA 1590
A_24_P315500	7.54e-04	4.73e-06	5.321795	4.1058711	1.7578379	NFYC-AS1	NFYC antisense RNA 1
A_23_P2554	7.57e-04	4.77e-06	5.31914	4.0980235	2.5297082	MLEC	malectin
A_23_P307682	7.57e-04	4.80e-06	-5.317515	4.0932205	-2.5131659	FAM78B	family with sequence similarity 78 member B
A_32_P185701	7.58e-04	4.82e-06	-5.316179	4.0892718	-1.7340964		
A_23_P409355	7.59e-04	4.87e-06	-5.312555	4.0785607	-2.2711799	PXN	paxillin
A_24_P795106	7.59e-04	4.88e-06	-5.312241	4.0776321	-1.6962743		
A_23_P400378	7.59e-04	4.89e-06	-5.31116	4.0744381	-1.5752046	GPBAR1	G protein-coupled bile acid receptor 1
A_23_P136595	7.59e-04	4.90e-06	-5.310507	4.0725085	-3.7523149		
A_23_P415633	7.75e-04	5.03e-06	-5.302223	4.0480271	-2.1318426	SGK494	uncharacterized serine/threonine-protein kinase SgK494
A_32_P152999	7.75e-04	5.05e-06	5.301031	4.0445044	4.1197524		
A_24_P390070	7.75e-04	5.07e-06	5.29971	4.0406012	2.0533737	SRSF9	serine and arginine rich splicing factor 9
A_32_P1509	7.80e-04	5.12e-06	5.296742	4.0318331	1.7595234	ZCCHC17	zinc finger CCHC-type containing 17
A_24_P409760	7.84e-04	5.17e-06	-5.29353	4.0223413	-3.2025097		
A_24_P816664	7.85e-04	5.20e-06	-5.291841	4.0173515	-1.5235724		
A_32_P12142	7.85e-04	5.22e-06	-5.290812	4.0143114	-1.6172139		
A_23_P307563	7.95e-04	5.30e-06	-5.285571	3.9988303	-2.4160727	KALRN	kalirin, RhoGEF kinase
A_23_P138168	8.05e-04	5.39e-06	5.280449	3.9836998	1.9721183	CNN3	calponin 3
A_32_P50587	8.12e-04	5.46e-06	-5.276218	3.9712062	-2.3922336		
A_32_P153889	8.13e-04	5.51e-06	-5.273666	3.9636676	-1.6318404		
A_23_P340308	8.13e-04	5.51e-06	-5.273443	3.9630108	-4.1532333	TAS2R19	taste 2 receptor member 19
A_23_P128161	8.30e-04	5.69e-06	5.263289	3.9330252	2.2607882	TUBA1C	tubulin alpha 1c
A_23_P57417	8.30e-04	5.69e-06	5.263147	3.932606	3.1252362	MMP11	matrix metallopeptidase 11
